Contact Person,DOB,Phone No.,Enterprise Name,Legal Structure,Business PAN,GSTIN,Udyam Reg. No.,District,State
Rahul Iyer,04-06-1982,+91 86509 33409,Vanguard Agro Mills Pvt Ltd,Pvt Ltd,GOKCV8068W,33GOKCV8068W9ZY,UDYAM-TN-18-2799215,Madurai,Tamil Nadu
Ananya Iyer,23-12-1967,+91 77858 12153,ZenPack Techno Fab LLP,LLP,CIYFZ9743Z,09CIYFZ9743Z5ZV,UDYAM-UP-20-5079649,Varanasi,Uttar Pradesh
Ananya Kulkarni,23-01-2000,+91 72321 96240,Vertex Plastics Enterprises,Enterprises,UQBPK9321W,23UQBPK9321W3Z9,UDYAM-MP-18-7028164,Jabalpur,Madhya Pradesh
Meera Chauhan,24-02-1989,+91 63718 91574,Apex Plastics Enterprises,Enterprises,IMWPC4499E,27IMWPC4499E4Z2,UDYAM-MH-20-5637674,Nashik,Maharashtra
Aarav Gupta,09-07-1996,+91 75924 60924,Precision Textiles Enterprises,Enterprises,PHCPG2004B,36PHCPG2004B6ZN,UDYAM-TS-31-8073423,Nizamabad,Telangana
Rohan Nair,15-08-1980,+91 83819 35509,Lotus Bio Remedies LLP,LLP,IFJFL7932C,27IFJFL7932C2ZB,UDYAM-MH-23-7806635,Nagpur,Maharashtra
Gaurav Bose,05-07-1988,+91 83687 43105,Matrix Solar Solutions Enterprises,Enterprises,ZPEPB6494X,33ZPEPB6494X5ZR,UDYAM-TN-15-1056847,Madurai,Tamil Nadu
Pooja Gupta,23-02-2002,+91 70485 64180,BlueCraft Textiles Enterprises,Enterprises,AKWPG1573W,27AKWPG1573W2Z2,UDYAM-MH-31-3018341,Mumbai,Maharashtra
Rohan Reddy,19-01-1997,+91 68945 72935,Matrix Gear Works LLP,LLP,NTMFM3849U,19NTMFM3849U3ZV,UDYAM-WB-35-1651419,Durgapur,West Bengal
Gaurav Gupta,22-06-1979,+91 86165 23408,Apex Polymers Pvt Ltd,Pvt Ltd,RBECA2788A,19RBECA2788A1Z7,UDYAM-WB-27-8820288,Durgapur,West Bengal
Gaurav Kulkarni,16-07-1984,+91 84034 09665,Apex Gear Works LLP,LLP,HASFA2005J,24HASFA2005J3ZJ,UDYAM-GJ-03-6101581,Vadodara,Gujarat
Meera Verma,02-06-1969,+91 70454 07520,Precision Techno Fab Enterprises,Enterprises,HVMPV9738A,23HVMPV9738A2ZO,UDYAM-MP-29-5310534,Gwalior,Madhya Pradesh
Ananya Sharma,08-09-1991,+91 80514 03146,Surya Agro Mills Enterprises,Enterprises,ERCPS6508Y,19ERCPS6508Y5Z6,UDYAM-WB-16-2400816,Howrah,West Bengal
Nikhil Reddy,16-09-1971,+91 71872 25672,EcoClean Metal Castings LLP,LLP,DIQFE9166S,09DIQFE9166S4ZI,UDYAM-UP-30-5136221,Lucknow,Uttar Pradesh
Aarav Sharma,19-12-1976,+91 65406 01432,EcoClean Solar Solutions LLP,LLP,FPLFE6536W,29FPLFE6536W3Z2,UDYAM-KR-28-1747496,Bengaluru,Karnataka
Siddharth Verma,08-02-1997,+91 72457 28147,Trident Agro Mills Pvt Ltd,Pvt Ltd,UEBCT8701X,32UEBCT8701X1ZO,UDYAM-KL-05-9979095,Ernakulam,Kerala
Nikhil Kulkarni,19-09-1967,+91 85460 90700,Surya Logistics Pvt Ltd,Pvt Ltd,ZHUCS4391J,29ZHUCS4391J7ZD,UDYAM-KR-03-9223829,Bengaluru,Karnataka
Siddharth Bose,12-02-1994,+91 81596 30913,Surya Gear Works Pvt Ltd,Pvt Ltd,VYNCS8571N,27VYNCS8571N2Z2,UDYAM-MH-33-6889006,Nashik,Maharashtra
Rajesh Patel,23-11-1987,+91 85661 81402,Shri Ganesh Bio Remedies Enterprises,Enterprises,GFXPP5196S,36GFXPP5196S4ZY,UDYAM-TS-17-4332504,Warangal,Telangana
Priya Patel,25-08-1989,+91 72747 74099,Surya Textiles LLP,LLP,AMIFS4454U,33AMIFS4454U7Z3,UDYAM-TN-18-8842981,Coimbatore,Tamil Nadu
Vikram Iyer,10-10-1982,+91 69120 34756,Surya Techno Fab LLP,LLP,VSRFS7630J,08VSRFS7630J7ZG,UDYAM-RJ-17-4252668,Jaipur,Rajasthan
Neha Kulkarni,17-07-1987,+91 96326 92910,Vertex Agro Mills Enterprises,Enterprises,LJZPK8484M,08LJZPK8484M7ZU,UDYAM-RJ-31-7169430,Jaipur,Rajasthan
Aarav Kulkarni,03-03-1997,+91 86209 45055,Shri Ganesh Techno Fab Pvt Ltd,Pvt Ltd,SSGCS7231O,36SSGCS7231O6ZE,UDYAM-TS-29-4160172,Nizamabad,Telangana
Rahul Patel,03-07-1979,+91 72649 66856,ZenPack Agro Mills Enterprises,Enterprises,TVCPP7864C,33TVCPP7864C9ZL,UDYAM-TN-01-2993491,Madurai,Tamil Nadu
Nikhil Das,14-11-1981,+91 99145 52690,Surya Textiles Pvt Ltd,Pvt Ltd,MLPCS6549E,24MLPCS6549E1ZK,UDYAM-GJ-21-5701937,Ahmedabad,Gujarat
Pooja Verma,02-01-1991,+91 80320 09620,Vertex Techno Fab Enterprises,Enterprises,WVCPV3592R,08WVCPV3592R2ZK,UDYAM-RJ-23-9543314,Kota,Rajasthan
Aarav Joshi,11-12-1981,+91 62326 00842,Matrix Agro Mills LLP,LLP,ETIFM8903M,27ETIFM8903M1Z0,UDYAM-MH-29-8828803,Nagpur,Maharashtra
Nikhil Chauhan,21-12-2002,+91 64550 54437,Lotus Polymers LLP,LLP,OKHFL8099H,36OKHFL8099H1ZQ,UDYAM-TS-32-3907324,Nizamabad,Telangana
Tanvi Mehta,15-09-1966,+91 83969 65593,Trident Polymers LLP,LLP,AUHFT8610J,27AUHFT8610J6ZZ,UDYAM-MH-34-1831414,Pune,Maharashtra
Rohan Reddy,21-09-1976,+91 68669 94657,Vanguard Gear Works Enterprises,Enterprises,DWYPR7243Y,19DWYPR7243Y1ZM,UDYAM-WB-29-7089115,Durgapur,West Bengal
Tanvi Gupta,11-05-1993,+91 91831 43185,Nova Textiles Pvt Ltd,Pvt Ltd,CHZCN4589K,27CHZCN4589K9ZA,UDYAM-MH-24-3368465,Nagpur,Maharashtra
Arjun Patel,27-10-1981,+91 71675 63122,Apex Agro Mills LLP,LLP,EIIFA4279C,33EIIFA4279C7Z0,UDYAM-TN-16-4180986,Madurai,Tamil Nadu
Priya Mehta,03-09-1979,+91 92208 43675,BlueCraft Solar Solutions Enterprises,Enterprises,MWWPM4574F,24MWWPM4574F1Z9,UDYAM-GJ-11-5457151,Surat,Gujarat
Rahul Iyer,06-10-1966,+91 62945 83943,Lotus Agro Mills Pvt Ltd,Pvt Ltd,ABNCL1554D,32ABNCL1554D3Z1,UDYAM-KL-04-7324437,Thiruvananthapuram,Kerala
Gaurav Chauhan,09-03-2000,+91 97194 01190,Matrix Techno Fab LLP,LLP,ZFEFM7311C,24ZFEFM7311C6Z7,UDYAM-GJ-03-8211492,Vadodara,Gujarat
Priya Verma,24-07-1997,+91 82212 08434,Vertex Polymers Enterprises,Enterprises,XPMPV9520W,08XPMPV9520W8Z7,UDYAM-RJ-06-8375204,Jodhpur,Rajasthan
Nikhil Chatterjee,17-06-1969,+91 79052 14741,Lotus Agro Mills LLP,LLP,KTVFL1593D,24KTVFL1593D9ZX,UDYAM-GJ-19-6960571,Surat,Gujarat
Rajesh Chauhan,18-03-1990,+91 97181 19438,Pioneer Metal Castings Pvt Ltd,Pvt Ltd,JONCP7182C,27JONCP7182C5ZP,UDYAM-MH-17-2681017,Nashik,Maharashtra
Ananya Reddy,26-06-1998,+91 84855 00364,ZenPack Logistics LLP,LLP,KPJFZ9194I,23KPJFZ9194I6Z2,UDYAM-MP-21-7962323,Jabalpur,Madhya Pradesh
Sneha Nair,15-07-1989,+91 86209 09943,Apex Polymers Pvt Ltd,Pvt Ltd,HINCA8017E,23HINCA8017E1Z1,UDYAM-MP-15-3762805,Bhopal,Madhya Pradesh
Vikram Reddy,16-08-1971,+91 89000 31370,Trident Bio Remedies Enterprises,Enterprises,NAUPR9097E,24NAUPR9097E1Z0,UDYAM-GJ-26-8289168,Ahmedabad,Gujarat
Meera Mehta,13-02-1993,+91 85537 99773,Shri Ganesh Techno Fab Enterprises,Enterprises,ODEPM3813A,23ODEPM3813A9ZY,UDYAM-MP-29-3604155,Jabalpur,Madhya Pradesh
Aarav Patel,27-02-1965,+91 88730 46167,EcoClean Techno Fab Enterprises,Enterprises,KKUPP3456H,36KKUPP3456H4Z9,UDYAM-TS-22-1910264,Hyderabad,Telangana
Nikhil Sharma,06-03-1971,+91 89469 06743,Pioneer Textiles Enterprises,Enterprises,LGGPS6789H,24LGGPS6789H1ZX,UDYAM-GJ-03-6258766,Ahmedabad,Gujarat
Aarav Das,13-08-1967,+91 76552 46122,Apex Textiles Pvt Ltd,Pvt Ltd,QXMCA9815R,19QXMCA9815R1Z8,UDYAM-WB-26-1327698,Howrah,West Bengal
Rahul Sharma,31-01-1967,+91 66816 36855,Vanguard Techno Fab LLP,LLP,OFHFV7933Y,29OFHFV7933Y8ZJ,UDYAM-KR-06-6669958,Mysuru,Karnataka
Neha Singh,25-06-1986,+91 99083 97825,Vertex Bio Remedies Enterprises,Enterprises,SZHPS8650Z,09SZHPS8650Z2ZH,UDYAM-UP-22-3612747,Kanpur,Uttar Pradesh
Neha Nair,24-02-1988,+91 77208 80332,Precision Polymers LLP,LLP,JVFFP9719F,36JVFFP9719F5ZX,UDYAM-TS-24-4971824,Hyderabad,Telangana
Sneha Joshi,28-06-1997,+91 84543 26892,ZenPack Logistics Enterprises,Enterprises,JJDPJ2462U,08JJDPJ2462U1ZE,UDYAM-RJ-32-5263023,Udaipur,Rajasthan
Vikram Reddy,30-04-1982,+91 76099 76539,Apex Bio Remedies LLP,LLP,XGQFA9084S,08XGQFA9084S1ZT,UDYAM-RJ-17-6001529,Kota,Rajasthan
Rahul Kulkarni,24-05-1969,+91 84900 99667,Matrix Infotech Pvt Ltd,Pvt Ltd,GXECM3435P,27GXECM3435P3ZP,UDYAM-MH-19-6347442,Mumbai,Maharashtra
Rajesh Reddy,07-02-1976,+91 74107 09820,Apex Metal Castings LLP,LLP,ZGMFA6939A,09ZGMFA6939A5ZR,UDYAM-UP-20-1913404,Lucknow,Uttar Pradesh
Arjun Chatterjee,26-06-1968,+91 93327 23683,EcoClean Gear Works Pvt Ltd,Pvt Ltd,QRTCE1447O,36QRTCE1447O5ZG,UDYAM-TS-17-9815429,Hyderabad,Telangana
Arjun Sharma,28-09-1981,+91 71138 61655,Nova Plastics Pvt Ltd,Pvt Ltd,RHSCN8072X,24RHSCN8072X2ZX,UDYAM-GJ-08-9033885,Vadodara,Gujarat
Pooja Iyer,20-01-1977,+91 86667 06125,Shri Ganesh Logistics Pvt Ltd,Pvt Ltd,VTVCS2815Y,19VTVCS2815Y8ZL,UDYAM-WB-23-3359528,Durgapur,West Bengal
Rahul Chatterjee,13-03-1981,+91 94720 83569,Nova Polymers LLP,LLP,VRGFN1554X,29VRGFN1554X9ZA,UDYAM-KR-31-6133726,Bengaluru,Karnataka
Neha Gupta,24-05-1983,+91 71739 24211,Precision Agro Mills Pvt Ltd,Pvt Ltd,DDECP6769E,29DDECP6769E3Z7,UDYAM-KR-01-3867752,Mysuru,Karnataka
Rohan Mehta,22-11-1991,+91 98878 59326,Apex Metal Castings Pvt Ltd,Pvt Ltd,QLMCA3234H,36QLMCA3234H9ZV,UDYAM-TS-02-9378650,Warangal,Telangana
Priya Reddy,23-10-1998,+91 68696 09443,Trident Techno Fab Enterprises,Enterprises,NRDPR3812X,09NRDPR3812X2ZU,UDYAM-UP-05-8165582,Lucknow,Uttar Pradesh
Meera Patel,07-07-1977,+91 66295 75199,Trident Logistics Enterprises,Enterprises,CFBPP2921J,27CFBPP2921J5ZB,UDYAM-MH-26-1012652,Nashik,Maharashtra
Pooja Nair,05-08-1983,+91 75319 05869,Apex Gear Works Pvt Ltd,Pvt Ltd,KNACA9562Y,23KNACA9562Y4Z0,UDYAM-MP-07-5248935,Gwalior,Madhya Pradesh
Rajesh Verma,14-02-1971,+91 91005 76902,Matrix Logistics Enterprises,Enterprises,YBFPV7344S,09YBFPV7344S6ZZ,UDYAM-UP-08-7364706,Noida,Uttar Pradesh
Arjun Patel,10-05-2001,+91 87390 83470,Nova Solar Solutions Pvt Ltd,Pvt Ltd,FKYCN3429P,33FKYCN3429P4ZC,UDYAM-TN-16-8655974,Coimbatore,Tamil Nadu
Rajesh Iyer,16-03-1978,+91 64589 16104,ZenPack Polymers Pvt Ltd,Pvt Ltd,FWXCZ5934V,23FWXCZ5934V9ZZ,UDYAM-MP-26-9214352,Bhopal,Madhya Pradesh
Nikhil Singh,09-08-1984,+91 89831 12658,Surya Plastics Enterprises,Enterprises,YUYPS9590M,08YUYPS9590M1ZX,UDYAM-RJ-03-4401368,Udaipur,Rajasthan
Tanvi Verma,10-12-1997,+91 95794 94071,Precision Textiles LLP,LLP,MFYFP6694K,36MFYFP6694K8ZO,UDYAM-TS-25-9098119,Warangal,Telangana
Gaurav Mehta,30-08-1990,+91 88328 57107,Shri Ganesh Polymers LLP,LLP,AMNFS9772O,27AMNFS9772O9ZF,UDYAM-MH-05-9343175,Mumbai,Maharashtra
Tanvi Joshi,12-07-1976,+91 77172 96041,Matrix Agro Mills Enterprises,Enterprises,WZZPJ8579U,33WZZPJ8579U6ZC,UDYAM-TN-28-4129241,Coimbatore,Tamil Nadu
Sneha Iyer,18-07-1990,+91 81704 35195,Surya Bio Remedies Enterprises,Enterprises,KPTPI3996Q,32KPTPI3996Q8ZS,UDYAM-KL-34-8691370,Kozhikode,Kerala
Rajesh Bose,14-05-2000,+91 61480 38328,Vanguard Techno Fab LLP,LLP,KIFFV3403N,32KIFFV3403N3Z5,UDYAM-KL-35-8269437,Thiruvananthapuram,Kerala
Sneha Iyer,02-08-1980,+91 64876 69431,Precision Metal Castings Pvt Ltd,Pvt Ltd,ETOCP4145N,27ETOCP4145N9ZU,UDYAM-MH-01-7347058,Mumbai,Maharashtra
Gaurav Verma,11-12-1978,+91 93838 39489,EcoClean Infotech Pvt Ltd,Pvt Ltd,FPBCE7817S,36FPBCE7817S4Z1,UDYAM-TS-09-7103122,Nizamabad,Telangana
Rohan Kulkarni,06-10-1990,+91 61038 89653,ZenPack Gear Works Pvt Ltd,Pvt Ltd,ETICZ4784H,23ETICZ4784H6ZQ,UDYAM-MP-06-5046692,Gwalior,Madhya Pradesh
Vikram Chatterjee,10-02-1968,+91 94933 36924,Lotus Gear Works LLP,LLP,WVTFL4011D,29WVTFL4011D4ZV,UDYAM-KR-08-1873055,Mangaluru,Karnataka
Ananya Das,23-02-1968,+91 60230 30701,Pioneer Plastics Enterprises,Enterprises,IJMPD6505Z,19IJMPD6505Z2ZS,UDYAM-WB-25-2875717,Durgapur,West Bengal
Arjun Bose,08-03-1983,+91 73915 80605,EcoClean Bio Remedies LLP,LLP,BLTFE1249S,23BLTFE1249S6Z0,UDYAM-MP-05-8893644,Gwalior,Madhya Pradesh
Aarav Reddy,30-03-1965,+91 68874 81503,Lotus Solar Solutions LLP,LLP,BICFL4727I,09BICFL4727I8Z7,UDYAM-UP-29-5539967,Lucknow,Uttar Pradesh
Pooja Gupta,24-11-1991,+91 99515 32417,Trident Techno Fab Pvt Ltd,Pvt Ltd,OFYCT3421F,09OFYCT3421F8Z5,UDYAM-UP-01-9778819,Lucknow,Uttar Pradesh
Aarav Chauhan,07-02-1972,+91 64528 16068,Lotus Agro Mills Pvt Ltd,Pvt Ltd,FMNCL7745Z,32FMNCL7745Z4ZX,UDYAM-KL-18-2002958,Thiruvananthapuram,Kerala
Rajesh Das,11-06-1978,+91 81003 16501,Evergreen Textiles LLP,LLP,CXFFE2198D,29CXFFE2198D1ZY,UDYAM-KR-07-1629824,Bengaluru,Karnataka
Meera Patel,22-10-1986,+91 61815 29890,Apex Polymers Enterprises,Enterprises,YJZPP4923C,08YJZPP4923C6ZM,UDYAM-RJ-16-9015425,Udaipur,Rajasthan
Rahul Singh,07-02-2002,+91 90010 46721,Evergreen Solar Solutions Enterprises,Enterprises,LJIPS1514F,33LJIPS1514F1Z8,UDYAM-TN-18-4392658,Coimbatore,Tamil Nadu
Priya Mehta,18-08-1990,+91 73917 20377,Vertex Textiles LLP,LLP,UHXFV1519U,19UHXFV1519U9ZA,UDYAM-WB-17-4516338,Howrah,West Bengal
Vikram Chatterjee,07-07-1968,+91 87547 69972,Pioneer Logistics LLP,LLP,XKPFP5121M,23XKPFP5121M3ZA,UDYAM-MP-27-7937388,Bhopal,Madhya Pradesh
Priya Iyer,07-11-1982,+91 96815 58886,Surya Logistics Pvt Ltd,Pvt Ltd,JYTCS2745L,08JYTCS2745L9ZB,UDYAM-RJ-24-5207673,Jaipur,Rajasthan
Rajesh Gupta,24-12-1985,+91 63436 53369,Vanguard Agro Mills Pvt Ltd,Pvt Ltd,ZXVCV7957R,36ZXVCV7957R2ZN,UDYAM-TS-24-4084702,Nizamabad,Telangana
Rohan Verma,08-10-1985,+91 79713 54129,BlueCraft Agro Mills Enterprises,Enterprises,OXMPV7637R,36OXMPV7637R8ZT,UDYAM-TS-02-7278716,Nizamabad,Telangana
Ananya Das,07-09-1990,+91 75534 36993,Surya Logistics Enterprises,Enterprises,NSLPD1744Y,36NSLPD1744Y3ZV,UDYAM-TS-10-6306159,Nizamabad,Telangana
Aarav Singh,18-01-1991,+91 87384 56887,Matrix Techno Fab Pvt Ltd,Pvt Ltd,PQRCM2485F,32PQRCM2485F7Z7,UDYAM-KL-11-4241490,Kozhikode,Kerala
Sneha Nair,14-12-1988,+91 77878 58497,Evergreen Infotech Enterprises,Enterprises,FOXPN4265I,32FOXPN4265I4ZS,UDYAM-KL-20-7931706,Kozhikode,Kerala
Arjun Bose,16-10-1969,+91 66985 36477,Evergreen Metal Castings LLP,LLP,YVJFE6505G,29YVJFE6505G3Z9,UDYAM-KR-34-4924315,Hubballi,Karnataka
Pooja Iyer,16-07-1973,+91 72946 49294,Precision Techno Fab Enterprises,Enterprises,ZHAPI2524F,19ZHAPI2524F5Z4,UDYAM-WB-31-7292188,Siliguri,West Bengal
Neha Chatterjee,04-06-1989,+91 72389 38018,Vanguard Polymers Enterprises,Enterprises,PIGPC1888R,23PIGPC1888R7ZC,UDYAM-MP-35-3307839,Jabalpur,Madhya Pradesh
